시도명,시군구명,행정동명,total,현재,5년후,10년후,15년후,20년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,15년후_고령인구비율,20년후_고령인구비율
서울특별시,중랑구,면목제3.8동,24591,7404,9614,11942,13635,15241,30.11,39.10,48.56,55.45,61.98
서울특별시,중랑구,상봉제1동,23877,6000,8115,10152,11866,13595,25.13,33.99,42.52,49.70,56.94
서울특별시,중랑구,상봉제2동,20250,4547,6041,7565,8827,10098,22.45,29.83,37.36,43.59,49.87
서울특별시,중랑구,중화제1동,19495,5505,7188,8672,9974,11341,28.24,36.87,44.48,51.16,58.17
서울특별시,중랑구,중화제2동,24829,7537,9927,12194,13865,15452,30.36,39.98,49.11,55.84,62.23
서울특별시,중랑구,묵제1동,34403,8765,11312,14316,17099,19820,25.48,32.88,41.61,49.70,57.61
서울특별시,중랑구,묵제2동,18621,5264,6848,8430,9785,11207,28.27,36.78,45.27,52.55,60.18
서울특별시,중랑구,망우본동,35148,9691,12613,15451,17699,20250,27.57,35.89,43.96,50.36,57.61
서울특별시,중랑구,망우제3동,16210,5108,6742,8288,9439,10458,31.51,41.59,51.13,58.23,64.52
서울특별시,중랑구,신내1동,38381,10350,13450,16642,19404,22478,26.97,35.04,43.36,50.56,58.57
서울특별시,중랑구,신내2동,20222,5978,7608,9413,10938,12398,29.56,37.62,46.55,54.09,61.31
서울특별시,성북구,성북동,16501,4259,5490,7006,8279,9449,25.81,33.27,42.46,50.17,57.26
서울특별시,성북구,삼선동,22878,5590,7213,9308,11175,12676,24.43,31.53,40.69,48.85,55.41
서울특별시,성북구,동선동,15499,3115,3969,5053,6028,6957,20.10,25.61,32.60,38.89,44.89
서울특별시,성북구,돈암제1동,14542,4139,5385,6751,7836,8766,28.46,37.03,46.42,53.89,60.28
서울특별시,성북구,돈암제2동,23725,5143,6971,9320,11588,13504,21.68,29.38,39.28,48.84,56.92
서울특별시,성북구,안암동,15194,2982,3868,4935,5764,6488,19.63,25.46,32.48,37.94,42.70
서울특별시,성북구,보문동,15408,3571,4706,6083,7264,8382,23.18,30.54,39.48,47.14,54.40
서울특별시,성북구,정릉제1동,18102,4433,5691,7279,8885,10361,24.49,31.44,40.21,49.08,57.24
서울특별시,성북구,정릉제2동,22921,6390,8140,10198,11954,13599,27.88,35.51,44.49,52.15,59.33
서울특별시,성북구,정릉제3동,15269,4602,5676,6907,7836,8651,30.14,37.17,45.24,51.32,56.66
서울특별시,성북구,정릉제4동,24745,6875,8821,11048,13147,15059,27.78,35.65,44.65,53.13,60.86
서울특별시,성북구,길음제1동,34973,6447,8420,11710,15655,19246,18.43,24.08,33.48,44.76,55.03
서울특별시,성북구,길음제2동,20648,4281,5733,7633,9503,11353,20.73,27.77,36.97,46.02,54.98
서울특별시,성북구,종암동,38522,9679,12565,16014,19285,22125,25.13,32.62,41.57,50.06,57.43
서울특별시,성북구,월곡제1동,26215,6826,8707,11070,13335,15478,26.04,33.21,42.23,50.87,59.04
서울특별시,성북구,월곡제2동,19434,5167,6563,8136,9542,10852,26.59,33.77,41.86,49.10,55.84
서울특별시,성북구,장위제1동,24154,6131,8170,10322,12180,13981,25.38,33.82,42.73,50.43,57.88
서울특별시,성북구,장위제2동,13697,4364,5516,6742,7721,8579,31.86,40.27,49.22,56.37,62.63
서울특별시,성북구,장위제3동,15746,3296,4411,5785,6946,8415,20.93,28.01,36.74,44.11,53.44
서울특별시,성북구,석관동,34977,10366,13286,16216,18697,21111,29.64,37.98,46.36,53.46,60.36
서울특별시,강북구,삼양동,23438,7049,9088,11305,13068,14679,30.08,38.77,48.23,55.76,62.63
서울특별시,강북구,미아동,21395,6532,8365,10179,11722,13036,30.53,39.10,47.58,54.79,60.93
서울특별시,강북구,송중동,29258,8633,11084,13701,15979,18015,29.51,37.88,46.83,54.61,61.57
서울특별시,강북구,송천동,26081,8864,11261,13700,15623,17249,33.99,43.18,52.53,59.90,66.14
서울특별시,강북구,삼각산동,31065,6538,8649,11691,14942,17799,21.05,27.84,37.63,48.10,57.30
서울특별시,강북구,번1동,18418,5244,6747,8304,9722,11044,28.47,36.63,45.09,52.79,59.96
서울특별시,강북구,번2동,15643,5487,6813,8198,9356,10341,35.08,43.55,52.41,59.81,66.11
서울특별시,강북구,번3동,16694,6124,7477,8921,10255,11281,36.68,44.79,53.44,61.43,67.58
