시도명,시군구명,행정동명,행정동별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율
부산광역시,북구,구포제2동,25098,12614,14266,15915,50.26,56.84,63.41
부산광역시,북구,구포제3동,19506,10136,11574,12787,51.96,59.34,65.55
부산광역시,북구,금곡동,37664,20216,22882,25059,53.67,60.75,66.53
부산광역시,북구,화명제1동,41139,16372,19508,22702,39.80,47.42,55.18
부산광역시,북구,화명제2동,17046,7851,9007,10063,46.06,52.84,59.03
부산광역시,북구,화명제3동,29484,11450,14240,16597,38.83,48.30,56.29
부산광역시,북구,덕천제1동,11053,6375,6982,7647,57.68,63.17,69.18
부산광역시,북구,덕천제2동,11887,6339,7053,7745,53.33,59.33,65.16
부산광역시,북구,덕천제3동,10679,5894,6623,7297,55.19,62.02,68.33
부산광역시,북구,만덕제1동,16657,7157,8152,9497,42.97,48.94,57.02
부산광역시,북구,만덕제2동,26317,11767,13759,15813,44.71,52.28,60.09
부산광역시,북구,만덕제3동,18532,9292,10533,11803,50.14,56.84,63.69
부산광역시,해운대구,우제1동,22216,10627,12318,13892,47.83,55.45,62.53
부산광역시,해운대구,우제2동,30506,12724,15350,17889,41.71,50.32,58.64
부산광역시,해운대구,우제3동,28600,11684,14150,16690,40.85,49.48,58.36
부산광역시,해운대구,중제1동,27921,11415,13851,16233,40.88,49.61,58.14
부산광역시,해운대구,중제2동,15858,7023,8276,9705,44.29,52.19,61.20
부산광역시,해운대구,좌제1동,17979,7132,8811,10154,39.67,49.01,56.48
부산광역시,해운대구,좌제2동,31825,13098,15576,17891,41.16,48.94,56.22
부산광역시,해운대구,좌제3동,16040,7465,8749,9847,46.54,54.54,61.39
부산광역시,해운대구,좌제4동,22996,9452,11500,13285,41.10,50.01,57.77
부산광역시,해운대구,송정동,9891,5337,5990,6677,53.96,60.56,67.51
부산광역시,해운대구,반여제1동,34138,14559,17747,20395,42.65,51.99,59.74
부산광역시,해운대구,반여제2동,12564,7115,7986,8767,56.63,63.56,69.78
부산광역시,해운대구,반여제3동,8454,5143,5705,6160,60.84,67.48,72.86
부산광역시,해운대구,반여제4동,15955,6961,8223,9492,43.63,51.54,59.49
부산광역시,해운대구,반송제1동,13650,8495,9403,10126,62.23,68.89,74.18
부산광역시,해운대구,반송제2동,23034,13959,15565,16899,60.60,67.57,73.37
부산광역시,해운대구,재송제1동,37665,13045,16761,20710,34.63,44.50,54.98
부산광역시,해운대구,재송제2동,24517,12051,13893,15767,49.15,56.67,64.31
부산광역시,사하구,괴정제1동,19263,9993,11323,12594,51.88,58.78,65.38
부산광역시,사하구,괴정제2동,15232,7434,8596,9773,48.81,56.43,64.16
부산광역시,사하구,괴정제3동,12224,6805,7597,8329,55.67,62.15,68.14
부산광역시,사하구,괴정제4동,12066,6087,6991,7821,50.45,57.94,64.82
부산광역시,사하구,당리동,26151,12838,14654,16583,49.09,56.04,63.41
부산광역시,사하구,하단제1동,21376,9551,11018,12470,44.68,51.54,58.34
부산광역시,사하구,하단제2동,25284,10258,12020,13721,40.57,47.54,54.27
부산광역시,사하구,신평제1동,16678,8538,9745,10943,51.19,58.43,65.61
부산광역시,사하구,신평제2동,17486,7528,8882,10159,43.05,50.79,58.10
부산광역시,사하구,장림제1동,10605,4618,5526,6527,43.55,52.11,61.55
부산광역시,사하구,장림제2동,27089,12081,14221,16406,44.60,52.50,60.56
