시도명,시군구명,시군구별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,
서울특별시,동작구,386017,95371,122713,153498,24.71,31.79,39.76,
서울특별시,마포구,368331,78383,103082,133609,21.28,27.99,36.27,
서울특별시,서대문구,305866,77185,99963,126037,25.23,32.68,41.21,
서울특별시,서초구,409823,87416,114216,150053,21.33,27.87,36.61,
서울특별시,성동구,285073,68693,90469,114582,24.10,31.74,40.19,
서울특별시,성북구,433150,107656,139301,177516,24.85,32.16,40.98,
서울특별시,송파구,662607,148719,196659,251119,22.44,29.68,37.90,
서울특별시,양천구,446182,104034,138878,180124,23.32,31.13,40.37,
서울특별시,영등포구,376740,89311,116361,145492,23.71,30.89,38.62,
서울특별시,용산구,222169,55608,72294,91602,25.03,32.54,41.23,
서울특별시,은평구,472259,126027,162197,203368,26.69,34.34,43.06,
서울특별시,종로구,144275,39371,51234,64251,27.29,35.51,44.53,
서울특별시,중구,122173,34329,43990,54265,28.10,36.01,44.42,
서울특별시,중랑구,389043,107590,140937,174728,27.66,36.23,44.91,
울산광역시,남구,312328,68654,97645,129063,21.98,31.26,41.32,
울산광역시,동구,153330,36193,48503,60796,23.60,31.63,39.65,
울산광역시,북구,219052,34881,53946,73889,15.92,24.63,33.73,
울산광역시,울주군,221777,55333,75744,97990,24.95,34.15,44.18,
울산광역시,중구,211523,55197,75153,95166,26.10,35.53,44.99,
인천광역시,강화군,69780,32637,39005,44240,46.77,55.90,63.40,
인천광역시,계양구,294201,69871,99870,128619,23.75,33.95,43.72,
인천광역시,남동구,516176,119724,162687,208535,23.19,31.52,40.40,
인천광역시,동구,60382,20216,25001,29988,33.48,41.40,49.66,
인천광역시,미추홀구,406943,107384,140177,174802,26.39,34.45,42.95,
인천광역시,부평구,484844,120425,164023,207900,24.84,33.83,42.88,
인천광역시,서구,565436,105934,151603,202555,18.73,26.81,35.82,
인천광역시,연수구,388732,69472,99976,134538,17.87,25.72,34.61,
인천광역시,옹진군,20533,8355,10331,11844,40.69,50.31,57.68,
인천광역시,중구,145672,32107,41964,53831,22.04,28.81,36.95,
전라남도,강진군,33534,15872,18822,21359,47.33,56.13,63.69,
전라남도,고흥군,62527,33608,39002,43540,53.75,62.38,69.63,
전라남도,곡성군,27432,13358,15895,18089,48.69,57.94,65.94,
전라남도,광양시,151410,32956,46971,62690,21.77,31.02,41.40,
전라남도,구례군,25130,11873,14212,16390,47.25,56.55,65.22,
전라남도,나주시,116497,36660,45642,54185,31.47,39.18,46.51,
전라남도,담양군,46208,19817,24175,28041,42.89,52.32,60.68,
전라남도,목포시,218241,56951,74139,93246,26.10,33.97,42.73,
전라남도,무안군,90874,24731,31167,38238,27.21,34.30,42.08,
전라남도,보성군,39200,20011,23516,26493,51.05,59.99,67.58,
전라남도,순천시,280719,68977,92885,118253,24.57,33.09,42.13,
전라남도,신안군,38113,18921,22735,25772,49.64,59.65,67.62,
전라남도,여수시,276145,81207,105002,129358,29.41,38.02,46.84,
전라남도,영광군,51947,20588,24972,29016,39.63,48.07,55.86,
전라남도,영암군,52970,19660,24563,29157,37.12,46.37,55.04,
전라남도,완도군,48329,21365,25448,29181,44.21,52.66,60.38,
전라남도,장성군,43241,17960,21882,25434,41.53,50.60,58.82,
전라남도,장흥군,36298,16808,20020,22927,46.31,55.15,63.16,
전라남도,진도군,29915,13581,16238,18514,45.40,54.28,61.89,
전라남도,함평군,31167,15343,18264,20683,49.23,58.60,66.36,
전라남도,해남군,66961,29849,35835,41113,44.58,53.52,61.40,
전라남도,화순군,62643,23385,29154,34833,37.33,46.54,55.61,
전라북도,고창군,53151,24709,29310,33505,46.49,55.14,63.04,
전라북도,군산시,264656,75578,96546,120014,28.56,36.48,45.35,
전라북도,김제시,80806,35315,42234,48528,43.70,52.27,60.05,
전라북도,남원시,79015,30843,37621,44416,39.03,47.61,56.21,
전라북도,무주군,23745,10869,13047,14990,45.77,54.95,63.13,
전라북도,부안군,50615,23094,27639,31646,45.63,54.61,62.52,
전라북도,순창군,26689,12320,14603,16732,46.16,54.72,62.69,
전라북도,완주군,91041,30778,38430,46108,33.81,42.21,50.65,
전라북도,익산시,277151,83061,106938,131538,29.97,38.58,47.46,
전라북도,임실군,26664,13109,15582,17639,49.16,58.44,66.15,
전라북도,장수군,21645,10107,12059,13739,46.69,55.71,63.47,
