시도명,시군구명,시군구별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율
서울특별시,강남구,532577,194590,244670,292166,36.54,45.94,54.86
서울특별시,강동구,461300,184224,220009,259017,39.94,47.69,56.15
서울특별시,강북구,297384,142502,165382,185778,47.92,55.61,62.47
서울특별시,강서구,573046,222299,265536,311403,38.79,46.34,54.34
서울특별시,관악구,486375,180158,212538,245346,37.04,43.70,50.44
서울특별시,광진구,340707,131580,156900,181926,38.62,46.05,53.40
서울특별시,구로구,396017,166391,196575,227389,42.02,49.64,57.42
서울특별시,금천구,231098,100335,116354,131870,43.42,50.35,57.06
서울특별시,노원구,510486,216305,259708,297394,42.37,50.87,58.26
서울특별시,도봉구,316098,149908,173797,195618,47.42,54.98,61.89
서울특별시,동대문구,337982,141331,165633,190270,41.82,49.01,56.30
서울특별시,동작구,386017,153498,181905,210641,39.76,47.12,54.57
서울특별시,마포구,368331,133609,163446,193072,36.27,44.37,52.42
서울특별시,서대문구,305866,126037,148961,171269,41.21,48.70,55.99
서울특별시,서초구,409823,150053,188023,224630,36.61,45.88,54.81
서울특별시,성동구,285073,114582,135606,157661,40.19,47.57,55.31
서울특별시,성북구,433150,177516,212620,245032,40.98,49.09,56.57
서울특별시,송파구,662607,251119,303540,359577,37.90,45.81,54.27
서울특별시,양천구,446182,180124,219885,256121,40.37,49.28,57.40
서울특별시,영등포구,376740,145492,172333,200863,38.62,45.74,53.32
서울특별시,용산구,222169,91602,108150,125089,41.23,48.68,56.30
서울특별시,은평구,472259,203368,241094,277066,43.06,51.05,58.67
서울특별시,종로구,144275,64251,75032,84969,44.53,52.01,58.89
서울특별시,중구,122173,54265,62717,71545,44.42,51.33,58.56
서울특별시,중랑구,389043,174728,202380,230528,44.91,52.02,59.26
울산광역시,남구,312328,129063,154436,178207,41.32,49.45,57.06
울산광역시,동구,153330,60796,73030,87022,39.65,47.63,56.75
울산광역시,북구,219052,73889,92006,113184,33.73,42.00,51.67
울산광역시,울주군,221777,97990,116995,133840,44.18,52.75,60.35
울산광역시,중구,211523,95166,111637,128014,44.99,52.78,60.52
인천광역시,강화군,69780,44240,48365,51895,63.40,69.31,74.37
인천광역시,계양구,294201,128619,151890,172764,43.72,51.63,58.72
인천광역시,남동구,516176,208535,251584,295021,40.40,48.74,57.16
인천광역시,동구,60382,29988,34847,39520,49.66,57.71,65.45
인천광역시,미추홀구,406943,174802,206285,238058,42.95,50.69,58.50
인천광역시,부평구,484844,207900,245965,282224,42.88,50.73,58.21
인천광역시,서구,565436,202555,251233,301930,35.82,44.43,53.40
인천광역시,연수구,388732,134538,168652,203437,34.61,43.39,52.33
인천광역시,옹진군,20533,11844,13064,14154,57.68,63.62,68.93
인천광역시,중구,145672,53831,66463,79554,36.95,45.63,54.61
전라남도,강진군,33534,21359,23331,24864,63.69,69.57,74.15
전라남도,고흥군,62527,43540,46919,49462,69.63,75.04,79.11
전라남도,곡성군,27432,18089,19768,20948,65.94,72.06,76.36
전라남도,광양시,151410,62690,74457,85884,41.40,49.18,56.72
전라남도,구례군,25130,16390,17929,19105,65.22,71.35,76.02
전라남도,나주시,116497,54185,62330,70977,46.51,53.50,60.93
전라남도,담양군,46208,28041,30933,33136,60.68,66.94,71.71
전라남도,목포시,218241,93246,111813,129339,42.73,51.23,59.26
전라남도,무안군,90874,38238,45291,52801,42.08,49.84,58.10
전라남도,보성군,39200,26493,28655,30345,67.58,73.10,77.41
전라남도,순천시,280719,118253,140545,160665,42.13,50.07,57.23
전라남도,신안군,38113,25772,28060,29874,67.62,73.62,78.38
전라남도,여수시,276145,129358,150628,169877,46.84,54.55,61.52
전라남도,영광군,51947,29016,32401,35246,55.86,62.37,67.85
전라남도,영암군,52970,29157,33072,36370,55.04,62.44,68.66
전라남도,완도군,48329,29181,32258,35065,60.38,66.75,72.55
전라남도,장성군,43241,25434,28315,30665,58.82,65.48,70.92
전라남도,장흥군,36298,22927,25024,26719,63.16,68.94,73.61
전라남도,진도군,29915,18514,20386,21890,61.89,68.15,73.17
전라남도,함평군,31167,20683,22551,23934,66.36,72.36,76.79
전라남도,해남군,66961,41113,45350,48740,61.40,67.73,72.79
전라남도,화순군,62643,34833,39345,42708,55.61,62.81,68.18
전라북도,고창군,53151,33505,36793,39345,63.04,69.22,74.02
