순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
143,9788950966980,S000000709874,열두 살에 부자가 된 키라,"16,800","15,120",10%,5%,840,보도 섀퍼,을파소,20141024,어린이(초등)
144,9788925536927,S000000476853,백만장자 시크릿,"16,000","14,400",10%,5%,800,하브 에커,알에이치코리아,20200713,경제/경영
145,9791196316808,S000001974802,공부머리 독서법,"16,500","14,850",10%,5%,820,최승필,책구루,20180503,인문
146,9788957821305,S000000858136,현명한 투자자,"23,000","20,700",10%,5%,"1,150",벤저민 그레이엄,국일증권경제연구소,20200526,경제/경영
147,9791160508079,S000001792848,월급쟁이 재테크 상식사전,"17,500","15,750",10%,5%,870,우용표,길벗,20190607,경제/경영
148,9791186757093,S000001891815,자존감 수업,"14,000","12,600",10%,5%,700,윤홍균,심플라이프,20160901,인문
149,9788949162041,S000000700440,장군이네 떡집,"11,000","9,900",10%,5%,550,김리리,비룡소,20220321,어린이(초등)
150,9791158511746,S000001767943,사람은 어떻게 생각하고 배우고 기억하는가,"17,000","15,300",10%,5%,850,제레드 쿠니 호바스,토네이도,20200320,자기계발
151,9788947545938,S000000696003,"엄마, 주식 사주세요(리커버 에디션)","15,000","13,500",10%,5%,750,존 리,한국경제신문,20200528,경제/경영
152,9788952782076,S000000734468,사서함 110호의 우편물,"13,000","11,700",10%,5%,650,이도우,시공사,20160318,소설
153,9791185952987,S000001876432,말 그릇,"15,000","13,500",10%,5%,750,김윤나,카시오페아,20170922,자기계발
154,9791162541395,S000001813687,선물주는산타의 주식투자 시크릿,"16,000","14,400",10%,5%,800,선물주는산타,비즈니스북스,20200416,경제/경영
155,9788954654753,S000000780281,체리새우: 비밀글입니다(30만 부 리커버 특별판),"11,500","10,350",10%,5%,570,황영미,문학동네,20190128,청소년
156,9788984373952,S000001310192,마음을 읽는 아이 오로르,"15,000","13,500",10%,5%,750,더글라스 케네디,밝은세상,20200228,소설
157,9788949161341,S000000700373,만복이네 떡집,"11,000","9,900",10%,5%,550,김리리,비룡소,20220309,어린이(초등)
159,9791196464110,S000001976790,마음의 결,"13,800","12,420",10%,5%,690,태희,피어오름,20190508,시/에세이
160,9788936434243,S000000610623,피프티 피플,"14,000","12,600",10%,5%,700,정세랑,창비,20161121,소설
161,9791196656515,S000001979045,이러지도 저러지도 못하는 당신에게,"13,000","11,700",10%,5%,650,강주원,비로소,20191028,시/에세이
162,9791196834005,S000001981146,백년운동,"19,500","17,550",10%,5%,970,정선근,아티잔,20191031,건강
163,9788959893546,S000000912431,"돈, 뜨겁게 사랑하고 차갑게 다루어라","12,000","10,800",10%,5%,600,앙드레 코스톨라니,미래의창,20150930,경제/경영
164,9791190710053,S000001942990,어른의 어휘력,"16,500","14,850",10%,5%,820,유선경,앤의서재,20200815,인문
165,9788983717573,S000001291129,백년 허리,"17,500","15,750",10%,5%,870,정선근,사이언스북스,20151231,건강
166,9791164452125,S000001829849,페스트(초판본)(1947년 오리지널 초판본 표지디자인),"13,800","12,420",10%,5%,690,알베르 카뮈,더스토리,20200320,소설
167,9791190030519,S000001934489,사람에 대한 예의,"15,000","13,500",10%,5%,750,권석천,어크로스,20200605,인문
168,9791190259170,S000001938011,진짜 부자 가짜 부자,"17,000","15,300",10%,5%,850,사경인,더클래스,20200417,경제/경영
169,9791196893118,S000001981723,설민석의 세계사 대모험 4,"12,000","10,800",10%,5%,600,설민석 외,단꿈아이,20200113,어린이(초등)
170,9788960498228,S000000928065,영어회화 이디엄,"15,000","13,500",10%,5%,750,김아영 외,사람in,20200103,외국어
171,9788950984748,S000000710823,마법천자문 47: 잠드는 시간! 밤 야,"14,000","12,600",10%,5%,700,김현수,아울북,20200129,어린이(초등)
172,9788937461798,S000000620316,브람스를 좋아하세요,"8,500","7,650",10%,5%,420,프랑수아즈 사강,민음사,20080502,소설
173,9788965421030,S000001020123,해커스 보카(Hackers Vocabulary),"16,900","15,210",10%,5%,840,David Cho,해커스어학연구소,20211213,외국어
174,9791197023002,S000001982938,이유가 많으니 그냥이라고 할 수밖에,"13,500","12,150",10%,5%,670,을냥이,스튜디오오드리,20200423,시/에세이
175,9791130621968,S000001686681,역사의 쓸모,"15,000","13,500",10%,5%,750,최태성,다산초당,20191122,인문
176,9791164450084,S000001829710,빨강 머리 앤,"16,800","15,120",10%,5%,840,루시 모드 몽고메리,더모던,20190510,소설
177,9791187165460,S000001898255,말센스,"14,500","13,050",10%,5%,720,셀레스트 헤들리,스몰빅라이프,20190225,자기계발
178,9791161502199,S000001802066,기적의 말하기 영단어 1000,"9,000","8,100",10%,5%,450,이시원,시원스쿨닷컴,20190212,외국어
179,9791195588602,S000001964631,42가지 마음의 색깔,"16,000","14,400",10%,5%,800,크리스티나 누녜스 페레이라 외,레드스톤,20220215,유아(0~7세)
180,9791130620459,S000001686647,철학은 어떻게 삶의 무기가 되는가,"16,000","14,400",10%,5%,800,야마구치 슈,다산초당,20190121,인문
181,9791170400097,S000001860154,너와 함께라면 인생도 여행이다,"13,500","12,150",10%,5%,670,나태주,열림원,20191212,시/에세이
182,9788960498310,S000000928070,영어 회화의 결정적 단어들,"15,000","13,500",10%,5%,750,서영조,사람in,20200306,외국어
183,9791196719432,S000001979782,경제기사 궁금증 300문 300답(2020),"19,800","17,820",10%,5%,990,곽해선,혜다,20191225,경제/경영
184,9791160507119,S000001792798,부동산 상식사전,"17,500","15,750",10%,5%,870,백영록,길벗,20190130,경제/경영
185,9791165341756,S000001835604,통찰과 역설,"16,800","15,120",10%,5%,840,천공,마음서재,20200620,자기계발
186,9788952751546,S000000731728,더 위험한 과학책,"22,000","19,800",10%,5%,"1,100",랜들 먼로,시공사,20200125,과학
187,9788965423300,S000001020250,해커스 토익 왕기초 RC Reading 리딩,"13,900","12,510",10%,5%,690,해커스 어학연구소,해커스어학연구소,20211213,외국어
188,9791186343135,S000001883411,그림의 힘(리커버 에디션),"19,800","17,820",10%,5%,990,김선현,에이트포인트,20200715,자기계발
189,9788997396658,S000001615658,못 참는 아이 욱하는 부모,"16,800","15,120",10%,5%,840,오은영,코리아닷컴,20160515,가정/육아
190,9791188862290,S000001919339,지구에서 한아뿐,"13,000","11,700",10%,5%,650,정세랑,난다,20190731,소설
191,9791157841110,S000001760863,미라클모닝,"14,800","13,320",10%,5%,740,할 엘로드,한빛비즈,20220805,자기계발
192,9788937461033,S000000620240,인간 실격,"9,000","8,100",10%,5%,450,다자이 오사무,민음사,20120410,소설
193,9788952786005,S000000734845,좋은 말씀,"17,000","15,300",10%,5%,850,맑고 향기롭게,시공사,20200430,시/에세이
194,9791135485121,S000001708385,초집중,"16,800","15,120",10%,5%,840,니르 이얄 외,안드로메디안,20200722,자기계발
195,9788963193502,S000000981072,수상한 화장실,"13,000","11,700",10%,5%,650,박현숙,북멘토,20200327,어린이(초등)
196,9788998441012,S000001632467,모순,"13,000","11,700",10%,5%,650,양귀자,쓰다,20130401,소설
197,9791136225603,S000001710893,원피스 95,"5,000","4,500",10%,5%,250,Eiichiro Oda,대원씨아이,20200331,만화
198,9791188331826,S000001913219,당신의 삶에 명상이 필요할 때,"16,500","14,850",10%,5%,820,앤디 퍼디컴,스노우폭스북스,20200305,자기계발
199,9791197037122,S000001983084,"안녕, 소중한 사람","15,000","13,500",10%,5%,750,정한경,북로망스,20200916,시/에세이
200,9791165342159,S000001835627,초격차: 리더의 질문,"18,000","16,200",10%,5%,900,권오현,쌤앤파커스,20200910,경제/경영
